Country,SG TOTAL,SG TEE TO GREEN,SG OFF THE TEE,SG APPROACH,SG AROUND THE GREEN,SG PUTTING,Name,Driving Distance,Accuracy,,Country,Name,Distance,,Country,Name,Accuracy
USA,0.51,0.35,-0.08,0.38,0.05,-0.03,allisen corpuz,248.83,0.7802,,SWE,madelene sagstrom,265.22,,JPN,rio takeda,0.7108
TPE,0.42,0.32,0,0.42,-0.1,-0.12,wei-ling hsu,256.27,0.7416,,KOR,somi lee,265.03,,USA,rose zhang,0.7101
JPN,0.39,0.13,0.33,-0.28,0.08,0.42,saki baba,270.14,0.6426,,CAN,alena sharp,264.92,,GER,caroline masson,0.7091
RSA,0.37,0.49,-0.23,0.5,0.22,-0.38,paula reto,258.61,0.6702,,ITA,benedetta moresco,264.3,,CHN,ruixin liu,0.7063
USA,0.37,1.03,0.03,1.15,-0.15,-0.77,elizabeth szokol,273.05,0.5931,,JPN,chisato iwai,264.11,,THA,pornanong phatlum,0.7055
USA,0.36,0.16,0.52,0.23,-0.59,0.27,jenny bae,271.54,0.6879,,AUS,stephanie kyriacou,264.04,,KOR,a lim kim,0.7046
KOR,0.35,-0.57,-0.15,-0.47,0.05,0.87,jenny shin,254.49,0.7184,,JPN,yuka saso,264,,AUS,hannah green,0.7045
CHN,0.33,-0.33,0.29,-0.41,-0.21,0.46,yan liu,266.43,0.6541,,CHN,ruixin liu,263.51,,CHN,mary liu,0.7035
CHN,0.33,-0.68,-0.43,-0.34,0.08,0.74,mary liu,249.24,0.7035,,THA,chanettee wannasaen,263.45,,ENG,bronte law,0.7008
NED,0.33,0.34,0.37,0.29,-0.31,-0.12,dewi weber,270.77,0.6846,,USA,kate smith-stroh,263.05,,BEL,manon de roey,0.7004
DEN,0.3,0.87,0.69,0.32,-0.14,-0.74,emily kristine pedersen,280.99,0.671,,KOR,sung hyun park,262.88,,SWE,maja stark,0.7
THA,0.26,0.32,-0.14,0.58,-0.12,-0.18,pajaree anannarukarn,255.68,0.7221,,SWE,maja stark,262.88,,USA,lindy duncan,0.6981
KOR,0.26,-0.11,-0.14,-0.19,0.23,0.24,soo bin joo,267.48,0.6711,,ENG,jodi ewart shadoff,262.79,,USA,lauren morris,0.6978
FRA,0.25,-0.23,0.42,-0.07,-0.59,0.41,perrine delacour,267.19,0.6616,,GER,esther henseleit,262.61,,USA,nelly korda,0.6972
USA,0.25,0.5,0.28,0.22,-0.01,-0.42,lucy li,260.17,0.7265,,CHN,yu liu,262.42,,THA,wichanee meechai,0.6959
ENG,0.24,-0.42,-0.11,0.08,-0.39,0.57,georgia hall,261.1,0.6523,,USA,angel yin,262.25,,SWE,linn grant,0.6951
ITA,0.22,0.01,0.19,0.18,-0.37,0.05,benedetta moresco,264.3,0.6605,,THA,ariya jutanugarn,262.2,,SWE,linnea strom,0.6932
SCO,0.13,0.16,-0.31,0.21,0.26,-0.12,gemma dryburgh,248.92,0.7233,,KOR,amy yang,261.69,,GER,aline krauter,0.6931
CHN,0.11,-0.39,-0.29,-0.19,0.09,0.44,jing yan,252.09,0.6584,,JPN,minami katsu,261.63,,THA,chanettee wannasaen,0.6928
RSA,0.08,0.39,-0.46,0.48,0.37,-0.45,ashleigh buhai,249.49,0.7404,,KOR,kumkang park,261.5,,AUS,minjee lee,0.6921
SWE,0.08,-0.02,0.04,0.04,-0.11,-0.04,madelene sagstrom,265.22,0.627,,ENG,georgia hall,261.1,,GER,sophia popov,0.6906
USA,0.08,0.44,0.41,0.17,-0.14,-0.58,brooke matthews,270.76,0.633,,NOR,celine borge,261,,KOR,in gee chun,0.6902
BEL,0.07,0.42,0.5,-0.04,-0.04,-0.38,manon de roey,273.43,0.7004,,AUS,gabriela ruffels,260.94,,CHN,yu liu,0.689
KOR,0.06,-0.18,-0.48,0.4,-0.09,0.18,in gee chun,250.54,0.6902,,USA,lucy li,260.17,,TPE,peiyun chien,0.6888
AUS,0.05,0.7,-0.05,0.39,0.36,-0.7,gabriela ruffels,260.94,0.6461,,TPE,peiyun chien,259.89,,USA,jenny bae,0.6879
KOR,0.03,0.36,-0.04,0.32,0.08,-0.42,amy yang,261.69,0.6827,,KOR,sei young kim,259.6,,MEX,gaby lopez,0.6865
AUS,0.01,-0.46,-0.15,-0.42,0.12,0.34,karis davidson,255.55,0.7148,,AUS,hira naveed,259.59,,AUS,stephanie kyriacou,0.6861
KOR,-0.01,-0.13,-0.21,0.36,-0.29,-0.02,jeongeun lee5,253.46,0.7285,,JPN,nasa hataoka,259.56,,USA,lilia vu,0.6851
CHN,-0.03,0.12,0.37,-0.05,-0.21,-0.33,weiwei zhang,274.2,0.6612,,TPE,yani tseng,258.97,,ESP,azahara munoz,0.685
ESP,-0.04,0.16,-0.56,0.42,0.3,-0.27,azahara munoz,252.33,0.685,,RSA,paula reto,258.61,,NED,dewi weber,0.6846
CHN,-0.05,-0.01,0.42,-0.12,-0.31,-0.11,ruixin liu,263.51,0.7063,,KOR,jin hee im,258.56,,USA,amanda doherty,0.6837
PAR,-0.08,0.93,-0.4,1.09,0.25,-1.2,sofia garcia,#N/A,#N/A,,SWE,dani holmqvist,258.5,,KOR,amy yang,0.6827
USA,-0.14,0.61,-0.44,0.48,0.58,-0.85,brittany lincicome,#N/A,#N/A,,SWE,linnea strom,257.76,,KOR,ina yoon,0.6824
AUS,-0.14,0.29,-0.06,0,0.35,-0.49,grace kim,257.55,0.7533,,AUS,hannah green,257.72,,ENG,charley hull,0.6805
KOR,-0.14,-0.18,-0.26,0.58,-0.49,-0.12,jiwon jeon,255.49,0.7771,,USA,sarah schmelzel,257.67,,ESP,carlota ciganda,0.6804
KOR,-0.15,0.02,-0.24,-0.01,0.27,-0.22,narin an,250.98,0.7612,,AUS,grace kim,257.55,,USA,mariel galdiano,0.6803
CHN,-0.16,-1.35,-0.33,-1.53,0.52,1.23,muni he,242.33,0.7138,,GER,sophia popov,257.52,,USA,lexi thompson,0.6747
USA,-0.16,0.03,-0.3,0.63,-0.3,-0.16,rose zhang,249.6,0.7101,,USA,jessica porvasnik,257.23,,CHN,miranda wang,0.6719
SUI,-0.18,0.15,-0.44,0.33,0.26,-0.26,albane valenzuela,250.92,0.6704,,FRA,celine boutier,256.96,,KOR,soo bin joo,0.6711
AUS,-0.18,-0.46,0.07,-0.63,0.11,0.09,cassie porter,271.94,0.6285,,KOR,jin young ko,256.95,,DEN,emily kristine pedersen,0.671
GER,-0.22,0.05,-0.09,0.48,-0.34,-0.22,olivia cowan,253.24,0.7432,,TPE,ssu-chia cheng,256.64,,SUI,albane valenzuela,0.6704
IND,-0.25,-0.98,-0.52,-0.32,-0.15,0.58,aditi ashok,243.74,0.7787,,JPN,hinako shibuno,256.63,,RSA,paula reto,0.6702
TPE,-0.26,0.19,0.16,0.14,-0.11,-0.62,peiyun chien,259.89,0.6888,,USA,megan khang,256.51,,CHN,xiaowen yin,0.6696
FRA,-0.3,-0.94,0.13,-0.01,-1.05,0.53,pauline roussin-bouchard,267.07,0.5852,,TPE,wei-ling hsu,256.27,,NOR,celine borge,0.6667
